"2022","city","country","latitude","longitude"
37267,"Santos Lugares","Argentina",-34.6038,-58.5461
36588,"Castelli","Argentina",-25.9468,-60.6195
36390,"Curuzu Cuatia","Argentina",-29.7917,-58.0546
36077,"Caleta Olivia","Argentina",-46.4393,-67.5281
36000,"Canada de Gomez","Argentina",-32.8164,-61.3949
35885,"Esperanza","Argentina",-31.4488,-60.9317
35105,"Bell Ville","Argentina",-32.6259,-62.6887
34718,"Nueve de Julio","Argentina",-35.4444,-60.8831
34587,"Chacabuco","Argentina",-34.6417,-60.4739
34000,"Villa Santa Rita","Argentina",-34.6108,-58.481
33609,"Caucete","Argentina",-31.6518,-68.2811
33515,"Pontevedra","Argentina",-34.7478,-58.7007
33120,"Gualeguay","Argentina",-33.1416,-59.3097
32494,"Aguilares","Argentina",-27.4338,-65.6143
32427,"Granadero Baigorria","Argentina",-32.8568,-60.7175
32083,"Quitilipi","Argentina",-26.8691,-60.2168
32038,"Puerto Iguazu","Argentina",-25.5991,-54.5736
32027,"Villaguay","Argentina",-31.8653,-59.0269
32002,"Casilda","Argentina",-33.0442,-61.1681
31758,"General Jose de San Martin","Argentina",-26.5374,-59.3416
31534,"Zapala","Argentina",-38.8992,-70.0544
31209,"Villa Regina","Argentina",-39.1,-67.0667
31106,"Tigre","Argentina",-34.426,-58.5796
30951,"Famailla","Argentina",-27.0541,-65.4033
30655,"Chajari","Argentina",-30.7505,-57.9796
30649,"Mercedes","Argentina",-29.1842,-58.0752
28956,"Centenario","Argentina",-38.8296,-68.1318
28814,"Garupa","Argentina",-27.4817,-55.8292
28756,"Gobernador Virasora","Argentina",-28.05,-56.0333
28486,"Esquel","Argentina",-42.9115,-71.3195
28265,"Adrogue","Argentina",-34.8004,-58.3838
28166,"Cruz del Eje","Argentina",-30.7264,-64.8039
28070,"Machagai","Argentina",-26.9261,-60.0495
28009,"Villa Dolores","Argentina",-31.9459,-65.1896
27838,"Termas de Rio Hondo","Argentina",-27.4936,-64.8597
27813,"Charata","Argentina",-27.2144,-61.188
27060,"Capitan Bermudez","Argentina",-32.8226,-60.7185
27000,"Coronel Suarez","Argentina",-37.4547,-61.9334
26955,"Las Brenas","Argentina",-27.0897,-61.0816
26825,"Jesus Maria","Argentina",-30.9815,-64.0942
26745,"Fontana","Argentina",-27.4181,-59.0239
26399,"Esquina","Argentina",-30.0148,-59.5289
26335,"Rawson","Argentina",-43.3002,-65.1023
26221,"Muniz","Argentina",-34.5562,-58.7074
26083,"Allen","Argentina",-38.9774,-67.8271
25190,"Dolores","Argentina",-36.3132,-57.6792
25186,"Plottier","Argentina",-38.9667,-68.2333
25139,"Victoria","Argentina",-32.6184,-60.1548
24905,"Jardin America","Argentina",-27.0435,-55.227
24796,"La Calera","Argentina",-31.3438,-64.3353
24747,"Tres Isletas","Argentina",-26.3407,-60.4321
24716,"La Paz","Argentina",-30.7418,-59.6452
24671,"Monte Caseros","Argentina",-30.2536,-57.6363
24668,"Veinticinco de Mayo","Argentina",-35.4323,-60.1727
24436,"Perez","Argentina",-32.9983,-60.7679
24226,"Marcos Juarez","Argentina",-32.6978,-62.1067
23961,"Embarcacion","Argentina",-23.21,-64.0996
23771,"Monteros","Argentina",-27.1674,-65.4983
23736,"San Pedro","Argentina",-26.6221,-54.1084
23519,"San Martin de los Andes","Argentina",-40.1579,-71.3534
